license_type_code,field_label,field_type,field_options,section_name,field_order,is_required
M.A.1,Name of Licensee,text,,(1) Location of Inspection,1,0
M.A.1,Address,text,,(1) Location of Inspection,2,0
M.A.1,Whether Nokarnama Holder is present,dropdown,"[""Yes"",""No""]",(1) Location of Inspection,3,0
M.A.1,Name of Authorised Person/Nokarnama Holder,text,,(1) Location of Inspection,4,0
M.A.1,District,text,,(1) Location of Inspection,5,0
M.A.1,List of Prohibited Item,dropdown,"[""Methanol"",""Recovered Methanol"",""Mother Liquor containing Methanol"",""Spent containing Methanol"",""SDS-Ethanol"",""ODS-Ethanol"",""Recovered Ethanol"",""Mother Liquor containing Ethanol"",""Spent containing Ethanol"",""Liquid Ammonium Chloride"",""Sodium Methoxide"",""Potassium Methoxide"",""Ammonium Chloride"",""Foreign Liquor"",""Molasses"",""Not Applicable""]",(2) Prohibited Item License Details,6,0
M.A.1,Type of License,dropdown,"[""M.A.-1"",""M.A.-2"",""D.S.-5"",""S.A.-1"",""D.S.P.-1"",""SP-2""]",(2) Prohibited Item License Details,7,0
M.A.1,Last Amendment done on Date,date,,(2) Prohibited Item License Details,8,0
M.A.1,Purpose,dropdown,"[""R&D"",""Testing"",""Validation"",""Chilling Brine Solution"",""Sale of Recovered/Distilled/Spent"",""Laboratory Use"",""Analytical"",""Production of Products mentioned in the License"",""APIs"",""API Intermediates"",""Dyes"",""Dye Intermediates"",""Pigment"",""Ink Medium"",""Retarder"",""Diagnostic Reagents"",""Perfume/Deodorant/Sanitizer"",""Other""]",(2) Prohibited Item License Details,9,0
M.A.1,"Other Purposes, if any",text,,(2) Prohibited Item License Details,10,0
M.A.1,Whether used for any other Purpose?,text,,(2) Prohibited Item License Details,11,0
M.A.1,Validity,date,,(2) Prohibited Item License Details,12,0
M.A.1,Possession Limit,text,,(2) Prohibited Item License Details,13,0
M.A.1,Consumption Limit,text,,(2) Prohibited Item License Details,14,0
M.A.1,Whether Possession Limit crossed in Last 3 Years?,dropdown,"[""Yes"",""No""]",(2) Prohibited Item License Details,15,0
M.A.1,If Yes then details (Possession),text,,(2) Prohibited Item License Details,16,0
M.A.1,Whether Consumption Limit crossed in Last 3 Years?,dropdown,"[""Yes"",""No""]",(2) Prohibited Item License Details,17,0
M.A.1,If Yes then details (Consumption),text,,(2) Prohibited Item License Details,18,0
M.A.1,Storage Area Approved or not?,dropdown,"[""Yes"",""No""]",(3) Storage Details,19,0
M.A.1,Prohibited Item stored in?,checkbox,"[""Tank"",""Drums"",""in Bags/Containers"",""Both Tank and Drums"",""Drum/Tank""]",(3) Storage Details,20,0
M.A.1,Storage Area cordoned and Locked or Not?,dropdown,"[""Yes"",""No""]",(3) Storage Details,21,0
M.A.1,Whether Cautionary Signs and Boards used for Prohibited Items?,dropdown,"[""Yes"",""No""]",(3) Storage Details,22,0
M.A.1,Calibration of Storage Tank done or not?,dropdown,"[""Yes"",""No""]",(3) Storage Details,23,0
M.A.1,Recovery Done or Not?,dropdown,"[""Yes"",""No"",""Not Applicable""]",(4) Recovery Details,24,0
M.A.1,"If yes, then details (Recovery)",text,,(4) Recovery Details,25,0
M.A.1,Further details regarding recovery,text,,(4) Recovery Details,26,0
M.A.1,No. of Products approved as per GPCB,text,,(5) Product Details,27,0
M.A.1,No.of Products as per License and other details,text,,(5) Product Details,28,0
M.A.1,Stage Wise Production or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,29,0
M.A.1,Continuous Production or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,30,0
M.A.1,Formulae and Flow Chart of each product approved or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,31,0
