license_type_code,field_label,field_type,field_options,section_name,field_order,is_required
M.A.2,Name of Licensee,text,,Location of Inspection,1,0
M.A.2,Address,text,,Location of Inspection,2,0
M.A.2,Whether Nokarnama Holder is present,text,,Location of Inspection,3,0
M.A.2,Name of Authorised Person/Nokarnama Holder,text,,Location of Inspection,4,0
M.A.2,District,text,,Location of Inspection,5,0
M.A.2,List of Prohibited Item,dropdown,"[""Yes"",""No"",""Not Applicable""]",Prohibitited Item License Details,6,0
M.A.2,Type of License,text,,Prohibitited Item License Details,7,0
M.A.2,Last Amendment done on Date,date,,Prohibitited Item License Details,8,0
M.A.2,Purpose,text,,Prohibitited Item License Details,9,0
M.A.2,"Other Purposes, if any",text,,Prohibitited Item License Details,10,0
M.A.2,Whether used for any other Purpose?,text,,Prohibitited Item License Details,11,0
M.A.2,Validity,date,,Prohibitited Item License Details,12,0
M.A.2,Possession Limit,text,,Prohibitited Item License Details,13,0
M.A.2,Consumption Limit,text,,Prohibitited Item License Details,14,0
M.A.2,Whether Possession Limit crossed in Last 3 Years?,text,,Prohibitited Item License Details,15,0
M.A.2,If Yes then details,text,,Prohibitited Item License Details,16,0
M.A.2,Whether Consumption Limit crossed in Last 3 Years?,text,,Prohibitited Item License Details,17,0
M.A.2,If Yes then details,text,,Prohibitited Item License Details,18,0
M.A.2,Storage Area Approved or not?,text,,Storage Details,19,0
M.A.2,Prohibited Item stored in?,text,,Storage Details,20,0
M.A.2,Storage Area cordoned and Locked or Not?,text,,Storage Details,21,0
M.A.2,Whether Cautionary Signs and Boards used for Prohibited Items?,text,,Storage Details,22,0
M.A.2,Calibration of Storage Tank done or not?,text,,Storage Details,23,0
M.A.2,Recovery Done or Not?,text,,Recovery Details,24,0
M.A.2,"If yes, then details",text,,Recovery Details,25,0
M.A.2,Further details regarding recovery,text,,Recovery Details,26,0
M.A.2,No. of Products approved as per GPCB,text,,Product Details,27,0
M.A.2,Stage Wise Production or not?,text,,Product Details,28,0
M.A.2,Continuous Production or not?,text,,Product Details,29,0
M.A.2,No.of Products as per License and other details,text,,Product Details,30,0
M.A.2,Formulae and Flow Chart of each product approved or not?,text,,Product Details,31,0
M.A.2,Product wise Issue Slip with due signatures prepared or not?,text,,Product Details,32,0
M.A.2,Whether Quota and Limit for each product in last 3 Years adhered or not?,text,,Product Details,33,0
